index,value,label,truth,doLabel,anomaly
1145,217.3913043,217.3913043,217.3913043,FALSE,0
1146,234.7826087,234.7826087,234.7826087,FALSE,0
1147,226.0869565,226.0869565,226.0869565,FALSE,0
1148,191.3043478,191.3043478,191.3043478,FALSE,0
1149,200,200,200,FALSE,0
1150,182.6086957,182.6086957,182.6086957,FALSE,0
1151,191.3043478,191.3043478,191.3043478,FALSE,0
1152,191.3043478,191.3043478,191.3043478,FALSE,0
1153,191.3043478,191.3043478,191.3043478,FALSE,0
1154,182.6086957,182.6086957,182.6086957,FALSE,0
1155,182.6086957,182.6086957,182.6086957,FALSE,0
1156,173.9130435,173.9130435,173.9130435,FALSE,0
1157,173.9130435,173.9130435,173.9130435,FALSE,0
1158,173.9130435,173.9130435,173.9130435,FALSE,0
1159,173.9130435,173.9130435,173.9130435,FALSE,0
1160,173.9130435,173.9130435,173.9130435,FALSE,0
1161,165.2173913,165.2173913,165.2173913,FALSE,0
1162,182.6086957,182.6086957,182.6086957,FALSE,0
1163,139.1304348,139.1304348,139.1304348,FALSE,0
1164,139.1304348,139.1304348,139.1304348,FALSE,0
1165,147.826087,147.826087,147.826087,FALSE,0
1166,147.826087,147.826087,147.826087,FALSE,0
1167,147.826087,147.826087,147.826087,FALSE,0
1168,147.826087,147.826087,147.826087,FALSE,0
1169,113.0434783,113.0434783,113.0434783,FALSE,0
1170,104.3478261,104.3478261,104.3478261,FALSE,0
1171,113.0434783,113.0434783,113.0434783,FALSE,0
1172,104.3478261,104.3478261,104.3478261,FALSE,0
1173,913.0434783,913.0434783,913.0434783,FALSE,0
1174,913.0434783,913.0434783,913.0434783,FALSE,0
1175,904.3478261,904.3478261,904.3478261,FALSE,0
1176,913.0434783,913.0434783,913.0434783,FALSE,0
1177,913.0434783,913.0434783,913.0434783,FALSE,0
1178,913.0434783,913.0434783,913.0434783,FALSE,0
1179,913.0434783,913.0434783,913.0434783,FALSE,0
1180,913.0434783,913.0434783,913.0434783,FALSE,0
1181,913.0434783,913.0434783,913.0434783,FALSE,0
1182,913.0434783,913.0434783,913.0434783,FALSE,0
1183,913.0434783,913.0434783,913.0434783,FALSE,0
1184,913.0434783,913.0434783,913.0434783,FALSE,0
1185,913.0434783,913.0434783,913.0434783,FALSE,0
1186,913.0434783,913.0434783,913.0434783,FALSE,0
1187,904.3478261,904.3478261,904.3478261,FALSE,0
1188,904.3478261,904.3478261,904.3478261,FALSE,0
1189,904.3478261,904.3478261,904.3478261,FALSE,0
1190,895.6521739,895.6521739,895.6521739,FALSE,0
1191,904.3478261,904.3478261,904.3478261,FALSE,0
1192,904.3478261,904.3478261,904.3478261,FALSE,0
1193,904.3478261,904.3478261,904.3478261,FALSE,0
1194,904.3478261,904.3478261,904.3478261,FALSE,0
1195,904.3478261,904.3478261,904.3478261,FALSE,0
1196,904.3478261,904.3478261,904.3478261,FALSE,0
1197,913.0434783,913.0434783,913.0434783,FALSE,0
1198,904.3478261,904.3478261,904.3478261,FALSE,0
1199,895.6521739,895.6521739,895.6521739,FALSE,0
1200,895.6521739,895.6521739,895.6521739,FALSE,0
1201,895.6521739,895.6521739,895.6521739,FALSE,0
1202,895.6521739,895.6521739,895.6521739,FALSE,0
1203,913.0434783,913.0434783,913.0434783,FALSE,0
1204,913.0434783,913.0434783,913.0434783,FALSE,0
1205,895.6521739,895.6521739,895.6521739,FALSE,0
1206,913.0434783,913.0434783,913.0434783,FALSE,0
1207,895.6521739,895.6521739,895.6521739,FALSE,0
1208,904.3478261,904.3478261,904.3478261,FALSE,0
1209,886.9565217,886.9565217,886.9565217,FALSE,0
1210,886.9565217,886.9565217,886.9565217,FALSE,0
