index,value,label,truth,anomaly,doLabel
213,253,253,253,0,FALSE
214,253,253,253,0,FALSE
215,253,253,253,0,FALSE
216,253,253,253,0,FALSE
217,253,253,253,0,FALSE
218,253,253,253,0,FALSE
219,253,253,253,0,FALSE
220,253,253,253,0,FALSE
221,253,253,253,0,FALSE
222,253,253,253,0,FALSE
223,253,253,253,0,FALSE
224,242,242,242,0,FALSE
225,242,242,242,0,FALSE
226,242,242,242,0,FALSE
227,242,242,242,0,FALSE
228,253,253,253,0,FALSE
229,253,253,253,0,FALSE
230,242,242,242,0,FALSE
231,242,242,242,0,FALSE
232,242,242,242,0,FALSE
233,242,242,242,0,FALSE
234,242,242,242,0,FALSE
235,231,231,231,0,FALSE
236,231,231,231,0,FALSE
237,242,242,242,0,FALSE
238,231,231,231,0,FALSE
239,231,231,231,0,FALSE
240,231,231,231,0,FALSE
241,231,231,231,0,FALSE
242,242,242,242,0,FALSE
243,242,242,242,0,FALSE
244,242,242,242,0,FALSE
245,242,242,242,0,FALSE
246,231,231,231,0,FALSE
247,242,242,242,0,FALSE
248,231,231,231,0,FALSE
249,231,231,231,0,FALSE
250,231,231,231,0,FALSE
251,231,231,231,0,FALSE
252,231,231,231,0,FALSE
253,231,231,231,0,FALSE
254,231,231,231,0,FALSE
255,242,242,242,0,FALSE
256,242,242,242,0,FALSE
257,231,231,231,0,FALSE
258,231,231,231,0,FALSE
259,242,242,242,0,FALSE
260,231,231,231,0,FALSE
261,231,231,231,0,FALSE
262,231,231,231,0,FALSE
263,231,231,231,0,FALSE
264,231,231,231,0,FALSE
265,231,231,231,0,FALSE
266,231,231,231,0,FALSE
267,242,242,242,0,FALSE
268,231,231,231,0,FALSE
269,231,231,231,0,FALSE
270,242,242,242,0,FALSE
271,231,231,231,0,FALSE
272,231,231,231,0,FALSE
273,220,220,220,0,FALSE
274,231,231,231,0,FALSE
275,220,220,220,0,FALSE
276,231,231,231,0,FALSE
277,220,220,220,0,FALSE
278,220,220,220,0,FALSE
279,220,220,220,0,FALSE
280,220,220,220,0,FALSE
281,220,220,220,0,FALSE
282,220,220,220,0,FALSE
283,220,220,220,0,FALSE
284,220,220,220,0,FALSE
285,209,209,209,0,FALSE
286,209,209,209,0,FALSE
287,220,220,220,0,FALSE
288,220,220,220,0,FALSE
289,220,220,220,0,FALSE
290,220,220,220,0,FALSE
291,220,220,220,0,FALSE
292,220,220,220,0,FALSE
293,220,220,220,0,FALSE
294,220,220,220,0,FALSE
295,220,220,220,0,FALSE
296,231,231,231,0,FALSE
297,220,220,220,0,FALSE
298,220,220,220,0,FALSE
299,209,209,209,0,FALSE
300,209,209,209,0,FALSE
301,209,209,209,0,FALSE
302,220,220,220,0,FALSE
303,209,209,209,0,FALSE
304,209,209,209,0,FALSE
305,209,209,209,0,FALSE
306,209,209,209,0,FALSE
307,209,209,209,0,FALSE
308,209,209,209,0,FALSE
309,220,220,220,0,FALSE
310,209,209,209,0,FALSE
311,209,209,209,0,FALSE
312,209,209,209,0,FALSE
313,209,209,209,0,FALSE
314,209,209,209,0,FALSE
315,209,209,209,0,FALSE
316,209,209,209,0,FALSE
317,209,209,209,0,FALSE
318,209,209,209,0,FALSE
319,209,209,209,0,FALSE
320,209,209,209,0,FALSE
321,209,209,209,0,FALSE
322,209,209,209,0,FALSE
323,220,220,220,0,FALSE
324,209,209,209,0,FALSE
325,209,209,209,0,FALSE
326,198,198,198,0,FALSE
327,198,198,198,0,FALSE
328,198,198,198,0,FALSE
329,198,198,198,0,FALSE
330,198,198,198,0,FALSE
331,198,198,198,0,FALSE
332,198,198,198,0,FALSE
333,198,198,198,0,FALSE
334,198,198,198,0,FALSE
335,198,198,198,0,FALSE
336,198,198,198,0,FALSE
337,198,198,198,0,FALSE
338,198,198,198,0,FALSE
339,198,198,198,0,FALSE
340,198,198,198,0,FALSE
341,209,209,209,0,FALSE
342,198,198,198,0,FALSE
343,198,198,198,0,FALSE
344,198,198,198,0,FALSE
345,198,198,198,0,FALSE
346,198,198,198,0,FALSE
347,198,198,198,0,FALSE
348,198,198,198,0,FALSE
349,187,187,187,0,FALSE
350,198,198,198,0,FALSE
351,187,187,187,0,FALSE
352,187,187,187,0,FALSE
353,187,187,187,0,FALSE
354,187,187,187,0,FALSE
355,187,187,187,0,FALSE
356,187,187,187,0,FALSE
357,198,198,198,0,FALSE
358,187,187,187,0,FALSE
359,187,187,187,0,FALSE
360,187,187,187,0,FALSE
361,198,198,198,0,FALSE
362,187,187,187,0,FALSE
363,187,187,187,0,FALSE
364,187,187,187,0,FALSE
365,187,187,187,0,FALSE
366,187,187,187,0,FALSE
367,187,187,187,0,FALSE
368,187,187,187,0,FALSE
369,187,187,187,0,FALSE
370,187,187,187,0,FALSE
371,187,187,187,0,FALSE
372,176,176,176,0,FALSE
373,176,176,176,0,FALSE
374,187,187,187,0,FALSE
375,187,187,187,0,FALSE
376,176,176,176,0,FALSE
377,176,176,176,0,FALSE
378,176,176,176,0,FALSE
379,176,176,176,0,FALSE
380,176,176,176,0,FALSE
381,176,176,176,0,FALSE
382,187,187,187,0,FALSE
383,176,176,176,0,FALSE
384,176,176,176,0,FALSE
385,176,176,176,0,FALSE
386,176,176,176,0,FALSE
387,176,176,176,0,FALSE
388,176,176,176,0,FALSE
389,176,176,176,0,FALSE
390,176,176,176,0,FALSE
391,176,176,176,0,FALSE
392,176,176,176,0,FALSE
393,176,176,176,0,FALSE
394,176,176,176,0,FALSE
395,176,176,176,0,FALSE
396,176,176,176,0,FALSE
397,176,176,176,0,FALSE
398,165,165,165,0,FALSE
399,165,165,165,0,FALSE
400,165,165,165,0,FALSE
401,165,165,165,0,FALSE
402,165,165,165,0,FALSE
403,165,165,165,0,FALSE
404,165,165,165,0,FALSE
405,165,165,165,0,FALSE
406,165,165,165,0,FALSE
407,165,165,165,0,FALSE
408,165,165,165,0,FALSE
409,165,165,165,0,FALSE
410,165,165,165,0,FALSE
411,165,165,165,0,FALSE
412,165,165,165,0,FALSE
413,165,165,165,0,FALSE
414,165,165,165,0,FALSE
415,165,165,165,0,FALSE
416,165,165,165,0,FALSE
417,165,165,165,0,FALSE
418,165,165,165,0,FALSE
419,165,165,165,0,FALSE
420,154,154,154,0,FALSE
421,154,154,154,0,FALSE
422,154,154,154,0,FALSE
423,154,154,154,0,FALSE
424,154,154,154,0,FALSE
425,154,154,154,0,FALSE
426,154,154,154,0,FALSE
427,154,154,154,0,FALSE
428,154,154,154,0,FALSE
429,143,143,143,0,FALSE
430,143,143,143,0,FALSE
431,154,154,154,0,FALSE
432,154,154,154,0,FALSE
433,165,165,165,0,FALSE
434,165,165,165,0,FALSE
435,154,154,154,0,FALSE
436,847,847,153,1,FALSE
437,154,154,154,0,FALSE
438,154,154,154,0,FALSE
439,165,165,165,0,FALSE
440,154,154,154,0,FALSE
441,143,143,143,0,FALSE
442,143,143,143,0,FALSE
443,143,143,143,0,FALSE
444,143,143,143,0,FALSE
445,143,143,143,0,FALSE
446,143,143,143,0,FALSE
447,143,143,143,0,FALSE
448,143,143,143,0,FALSE
449,143,143,143,0,FALSE
450,143,143,143,0,FALSE
451,143,143,143,0,FALSE
452,143,143,143,0,FALSE
453,132,132,132,0,FALSE
454,132,132,132,0,FALSE
455,143,143,143,0,FALSE
456,143,143,143,0,FALSE
457,143,143,143,0,FALSE
458,143,143,143,0,FALSE
459,143,143,143,0,FALSE
460,143,143,143,0,FALSE
461,858,858,143,1,FALSE
462,143,143,143,0,FALSE
463,143,143,143,0,FALSE
464,143,143,143,0,FALSE
465,143,143,143,0,FALSE
466,143,143,143,0,FALSE
467,132,132,132,0,FALSE
468,132,132,132,0,FALSE
469,132,132,132,0,FALSE
470,132,132,132,0,FALSE
471,132,132,132,0,FALSE
472,858,858,132,1,FALSE
473,132,132,132,0,FALSE
474,132,132,132,0,FALSE
475,132,132,132,0,FALSE
476,132,132,132,0,FALSE
477,132,132,132,0,FALSE
478,132,132,132,0,FALSE
479,132,132,132,0,FALSE
480,143,143,143,0,FALSE
481,132,132,132,0,FALSE
482,132,132,132,0,FALSE
